2011/04/22.1551.15 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 204.141.216.42, 2011-04-22 15:51:15 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1642.33 FAILED FILTERING HEURISTICS (planetlab2.netmedia.gist.ac.kr, 133.15.59.2, 2011-04-22 16:42:33 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>true, :htr_not_reach=>false}
2011/04/22.1654.44 FAILED FILTERING HEURISTICS (plnode-03.gpolab.bbn.com, 133.15.59.2, 2011-04-22 16:54:44 -0700): {:dp=>true, :dir=>true, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1735.15 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 204.141.216.42, 2011-04-22 17:35:15 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1741.16 FAILED FILTERING HEURISTICS (planetlab-2.cs.auckland.ac.nz, 133.15.59.2, 2011-04-22 17:41:16 -0700): {:dp=>true, :dir=>true, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1746.55 FAILED FILTERING HEURISTICS (pl1.6test.edu.cn, 133.15.59.2, 2011-04-22 17:46:55 -0700): {:dp=>true, :dir=>true, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1801.36 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 133.15.59.2, 2011-04-22 18:01:36 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1803.28 FAILED FILTERING HEURISTICS (plgmu4.ite.gmu.edu, 133.15.59.2, 2011-04-22 18:03:28 -0700): {:dp=>true, :dir=>true, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1803.44 FAILED FILTERING HEURISTICS (planetlab2.netmedia.gist.ac.kr, 133.15.59.2, 2011-04-22 18:03:44 -0700): {:dp=>true, :dir=>true, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1816.31 FAILED FILTERING HEURISTICS (planetlab-2.sjtu.edu.cn, 133.15.59.2, 2011-04-22 18:16:31 -0700): {:dp=>true, :dir=>true, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1816.44 FAILED FILTERING HEURISTICS (planetlab-2.sjtu.edu.cn, 133.15.59.2, 2011-04-22 18:16:44 -0700): {:dp=>true, :dir=>true, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1911.13 FAILED FILTERING HEURISTICS (planetlab-node3.it-sudparis.eu, 133.15.59.2, 2011-04-22 19:11:13 -0700): {:dp=>true, :dir=>true, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1912.14 FAILED FILTERING HEURISTICS (pl1.6test.edu.cn, 133.15.59.2, 2011-04-22 19:12:14 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1925.01 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 204.141.216.42, 2011-04-22 19:25:01 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.2026.25 FAILED FILTERING HEURISTICS (pl1.6test.edu.cn, 133.15.59.2, 2011-04-22 20:26:25 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.2136.10 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 204.141.216.42, 2011-04-22 21:36:10 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>false, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.2158.44 FAILED FILTERING HEURISTICS (planetlab-node3.it-sudparis.eu, 133.15.59.2, 2011-04-22 21:58:44 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.2158.44 FAILED FILTERING HEURISTICS (planetlab1.nvlab.org, 133.15.59.2, 2011-04-22 21:58:44 -0700): {:dp=>true, :dir=>true, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.2200.06 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 218.197.1.18, 2011-04-22 22:00:06 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.2209.33 FAILED FILTERING HEURISTICS (planetlab2.netmedia.gist.ac.kr, 218.197.1.18, 2011-04-22 22:09:33 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.2303.39 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 204.141.216.42, 2011-04-22 23:03:39 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.2319.31 FAILED FILTERING HEURISTICS (planetlab-node3.it-sudparis.eu, 158.130.6.254, 2011-04-22 23:19:31 -0700): {:dp=>true, :dir=>true, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
